job,marital,education,default,housing,loan,contact,month,poutcome,y
unemployed,married,primary,no,no,no,cellular,oct,unknown,no
services,married,secondary,no,yes,yes,cellular,may,failure,no
management,single,tertiary,no,yes,no,cellular,apr,failure,no
management,married,tertiary,no,yes,yes,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,feb,failure,no
self-employed,married,tertiary,no,yes,no,cellular,may,other,no
technician,married,secondary,no,yes,no,cellular,may,unknown,no
entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
services,married,primary,no,yes,yes,cellular,apr,failure,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,cellular,apr,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
student,single,secondary,no,no,no,cellular,apr,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,jan,failure,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
admin.,single,tertiary,no,yes,no,cellular,apr,failure,no
blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,no,no,cellular,jul,other,no
management,divorced,unknown,no,yes,no,cellular,nov,unknown,no
management,divorced,tertiary,no,no,no,cellular,nov,unknown,no
services,single,secondary,no,no,no,unknown,jun,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
housemaid,married,tertiary,no,no,no,cellular,jan,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
retired,married,unknown,no,no,no,telephone,aug,failure,no
self-employed,married,secondary,no,no,yes,cellular,jul,unknown,no
admin.,married,secondary,no,no,yes,cellular,aug,unknown,no
retired,divorced,secondary,no,no,no,telephone,jul,unknown,yes
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,no,no,cellular,nov,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
retired,divorced,primary,no,no,no,telephone,oct,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,yes
management,married,secondary,no,yes,no,cellular,may,failure,yes
services,single,tertiary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,nov,failure,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
technician,married,tertiary,no,yes,no,cellular,may,unknown,no
technician,single,tertiary,no,yes,no,cellular,nov,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,telephone,feb,other,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
entrepreneur,single,primary,yes,yes,yes,cellular,feb,unknown,no
admin.,married,unknown,no,yes,no,cellular,jan,success,yes
blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,yes
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,yes,no,cellular,jun,other,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,telephone,jul,unknown,no
management,married,secondary,no,no,yes,telephone,feb,unknown,no
self-employed,single,tertiary,no,no,no,cellular,nov,unknown,no
retired,single,secondary,no,yes,yes,unknown,may,unknown,no
technician,divorced,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,primary,no,no,yes,telephone,jul,unknown,no
retired,married,secondary,no,yes,no,cellular,oct,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,jul,unknown,no
admin.,married,secondary,no,no,no,cellular,oct,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,may,failure,no
services,married,secondary,no,yes,no,cellular,jan,unknown,no
technician,married,secondary,no,yes,no,cellular,jul,unknown,no
management,married,secondary,no,no,yes,cellular,jul,unknown,no
technician,single,tertiary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,no,no,no,cellular,jul,success,yes
entrepreneur,divorced,tertiary,yes,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
services,married,tertiary,no,yes,no,unknown,jun,unknown,no
retired,married,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,may,other,no
technician,single,secondary,no,no,yes,cellular,aug,unknown,no
blue-collar,divorced,primary,no,no,no,cellular,feb,unknown,no
unemployed,married,secondary,no,yes,no,cellular,nov,failure,no
admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
